batch,car,nodes,length_m,travel_time,rho_mean,speed_kph,start_x,start_y,goal_x,goal_y
6,3,21,980.7,203.1,1.137,17.4,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
6,4,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
6,5,5,410.5,64.08,1.264,23.1,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
6,6,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
6,7,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
6,8,4,358.2,66.19,1.419,19.5,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
6,9,4,358.2,82.74,1.419,15.6,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
7,0,5,410.5,63.62,0.954,23.2,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
7,1,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
7,2,25,740.6,185.85,0.209,14.3,488800.472890099,5513140.421006656,488859.209428176,5512832.952139652
7,3,11,68.0,6.27,0.376,39.1,489878.3859119593,5512768.074769724,489862.83108759683,5512714.270364838
7,4,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
7,5,21,980.7,153.73,0.93,23.0,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
7,6,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
7,7,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
8,0,2,0.0,0.0,0.0,0.0,488905.5053744782,5513537.697186124,488905.5053744782,5513537.697186124
8,1,4,358.2,40.98,1.211,31.5,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
8,2,5,410.5,61.03,1.06,24.2,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
8,3,2,60.1,3.67,0.604,59.0,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
8,4,21,980.7,130.84,0.805,27.0,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
8,5,2,0.0,0.0,0.0,0.0,488905.5053744782,5513537.697186124,488905.5053744782,5513537.697186124
8,6,4,358.2,65.12,1.211,19.8,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
8,7,2,60.1,4.0,0.604,54.1,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
8,8,2,60.1,4.64,0.604,46.6,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
9,0,21,980.7,119.54,1.041,29.5,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
9,1,21,980.7,158.74,1.041,22.2,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
9,2,19,159.4,14.54,0.595,39.5,489789.06203755044,5512772.1896977415,489862.83108759683,5512714.270364838
9,3,8,717.7,89.54,0.845,28.9,490017.1493407046,5512613.3871029215,489862.83108759683,5512714.270364838
9,4,30,858.3,108.68,0.581,28.4,490017.1493407046,5512613.3871029215,489862.83108759683,5512714.270364838
10,0,5,410.5,41.36,0.577,35.7,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
10,1,2,60.1,3.86,0.384,56.0,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
10,2,5,314.2,24.8,0.438,45.6,488631.179047366,5512022.554642968,488835.3889673353,5511937.387367015
10,3,2,0.0,0.0,0.0,0.0,488905.5053744782,5513537.697186124,488905.5053744782,5513537.697186124
10,4,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
10,5,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
10,6,5,314.2,26.48,0.438,42.7,488631.179047366,5512022.554642968,488835.3889673353,5511937.387367015
10,7,21,980.7,145.34,0.909,24.3,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
10,8,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
10,9,8,717.7,97.84,0.815,26.4,490017.1493407046,5512613.3871029215,489862.83108759683,5512714.270364838
11,0,8,717.7,79.54,1.34,32.5,490017.1493407046,5512613.3871029215,489862.83108759683,5512714.270364838
11,1,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
11,2,8,717.7,100.17,1.34,25.8,490017.1493407046,5512613.3871029215,489862.83108759683,5512714.270364838
11,3,36,837.5,129.5,0.941,23.3,489543.1665336083,5513169.685356457,489862.83108759683,5512714.270364838
11,4,4,358.2,31.51,0.767,40.9,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
11,5,4,358.2,38.5,0.767,33.5,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
11,6,17,808.5,179.23,1.363,16.2,489468.69902200956,5513252.214738142,489862.83108759683,5512714.270364838
11,7,43,1121.3,250.06,0.926,16.1,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
11,8,8,717.7,188.66,1.34,13.7,490017.1493407046,5512613.3871029215,489862.83108759683,5512714.270364838
12,0,4,358.2,34.11,0.849,37.8,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
12,1,21,980.7,183.65,1.238,19.2,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
12,2,2,60.1,3.71,0.472,58.3,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
12,3,21,980.7,242.75,1.238,14.5,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
12,4,2,60.1,4.11,0.472,52.7,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
12,5,5,410.5,50.08,0.725,29.5,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
12,6,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
13,0,5,410.5,43.94,1.168,33.6,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
13,1,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
13,2,21,980.7,170.83,1.473,20.7,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
13,3,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
13,4,21,980.7,228.38,1.473,15.5,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
13,5,5,410.5,54.25,1.168,27.2,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
13,6,4,358.2,56.59,1.287,22.8,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
13,7,5,410.5,82.94,1.168,17.8,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
13,8,43,1121.3,295.05,0.94,13.7,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
14,0,21,980.7,194.29,1.614,18.2,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
14,1,2,60.1,3.76,0.67,57.5,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
14,2,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
14,3,21,980.7,259.59,1.614,13.6,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
14,4,4,358.2,48.64,0.967,26.5,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
14,5,43,1121.3,336.93,1.037,12.0,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
14,6,2,60.1,4.22,0.67,51.3,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
